generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
191,439,1.108492909868311e-05,2.1459364958367074e-05,1.8604371887554663e-05,2.4584063100288265e-06
192,433,1.108492909868311e-05,2.1670393963795364e-05,1.85793139623315e-05,2.49616242867009e-06
193,441,1.1969130447483038e-05,2.1670393963795364e-05,1.864553964943133e-05,2.391311912992459e-06
194,435,1.1715524629533562e-05,2.1670393963795364e-05,1.8609937338743906e-05,2.4301155650692037e-06
195,419,1.0931449970785109e-05,2.148588296043263e-05,1.8487337424068735e-05,2.546849580467943e-06
196,453,1.0931449970785109e-05,2.148588296043263e-05,1.8440256528390035e-05,2.61981838593167e-06
197,428,1.1289788766736508e-05,2.1682750730280774e-05,1.8561785520321157e-05,2.531185152411507e-06
198,418,1.0741009092232946e-05,2.148588296043263e-05,1.8649765715604838e-05,2.5030054240703637e-06
199,423,1.0741009092232946e-05,2.148588296043263e-05,1.8668281507619378e-05,2.5445714964025157e-06
200,451,1.1697590948894306e-05,2.1822949372061297e-05,1.8919279951388524e-05,2.3435055695846504e-06
201,453,1.1220527525155888e-05,2.1682750730280774e-05,1.8791984224263908e-05,2.492168401005897e-06
202,430,1.1220527525155888e-05,2.1682750730280774e-05,1.8640303645865556e-05,2.5793448114131937e-06
203,425,1.1220527525155888e-05,2.1682750730280774e-05,1.876446685188846e-05,2.554271227060739e-06
204,441,1.1231295364634255e-05,2.1682750730280774e-05,1.872305871893405e-05,2.543953449700533e-06
205,413,1.1189291387167624e-05,2.1682750730280774e-05,1.8814182814612962e-05,2.488830095894835e-06
206,436,1.1189291387167624e-05,2.1682750730280774e-05,1.898462238926169e-05,2.4331748124933344e-06
207,422,1.148315075520802e-05,2.1682750730280774e-05,1.8969240013425717e-05,2.4156420075814875e-06
208,428,1.1314988374978907e-05,2.1682750730280774e-05,1.87794285284877e-05,2.642031651964728e-06
209,442,1.0815965016599352e-05,2.1682750730280774e-05,1.8899146515414706e-05,2.5918123132186035e-06
210,435,1.1615991625942122e-05,2.1682750730280774e-05,1.892926366557851e-05,2.591559071018658e-06
211,429,1.12243057880464e-05,2.2782469014214625e-05,1.895587468651027e-05,2.5519469748276927e-06
212,429,1.1776596991854631e-05,2.148588296043263e-05,1.896066243005996e-05,2.4784785890310817e-06
213,440,1.1119996162838773e-05,2.148588296043263e-05,1.9049284981394863e-05,2.6066011786471056e-06
214,429,1.1834134345690868e-05,2.148588296043263e-05,1.9026525875357773e-05,2.6008410642094277e-06
215,470,1.12243057880464e-05,2.148588296043263e-05,1.905201974426595e-05,2.4974046458016225e-06
216,424,1.1004263110088707e-05,2.1616226980774807e-05,1.8926802001816745e-05,2.5588492155922788e-06
217,419,1.1004263110088707e-05,2.1616226980774807e-05,1.8955125456283434e-05,2.5847564847453622e-06
218,447,1.1004263110088707e-05,2.1573311513355985e-05,1.8905123651928353e-05,2.589360676473008e-06
219,418,1.195340490263728e-05,2.148588296043263e-05,1.8859450577443723e-05,2.5868719655908605e-06
220,431,1.1531865226132155e-05,2.148588296043263e-05,1.902546723316229e-05,2.557078255779221e-06
221,430,1.1531865226132155e-05,2.148588296043263e-05,1.9202263916370793e-05,2.461012124016303e-06
222,428,1.152300856882333e-05,2.1492453190283274e-05,1.932243251892e-05,2.4131734812751145e-06
223,421,1.1062307551869151e-05,2.1492453190283274e-05,1.9359126378228736e-05,2.492957111782242e-06
224,438,1.1062307551869151e-05,2.1682750730280774e-05,1.9183095706540335e-05,2.5486322984481906e-06
225,434,1.0857155702488212e-05,2.1682750730280774e-05,1.9397470450046372e-05,2.4295978449926818e-06
226,423,1.049680119335585e-05,2.1682750730280774e-05,1.9369185510122665e-05,2.457256282225827e-06
227,437,1.1256294668817406e-05,2.1682750730280774e-05,1.9531825782033367e-05,2.4037748224835674e-06
228,443,1.0924188537961472e-05,2.200552932292281e-05,1.9424852541684048e-05,2.415033620436431e-06
229,437,1.0924188537961472e-05,2.1682750730280774e-05,1.9498468992341153e-05,2.341782461278363e-06
230,439,1.0890060540023513e-05,2.1682750730280774e-05,1.9541661743757814e-05,2.330415584572175e-06
231,443,1.0890060540023513e-05,2.1682750730280774e-05,1.9509806310866883e-05,2.4077652981974232e-06
232,441,1.1256294668817406e-05,2.1682750730280774e-05,1.934472266477867e-05,2.486147297452162e-06
233,436,1.1231295364634255e-05,2.1682750730280774e-05,1.9454017270696006e-05,2.5007417983646475e-06
234,433,1.1694331782472308e-05,2.1682750730280774e-05,1.9454709267418273e-05,2.327773603306512e-06
235,414,1.0804326512128592e-05,2.1682750730280774e-05,1.9320262157667663e-05,2.505795370523163e-06
236,427,1.0804326512128592e-05,2.1682750730280774e-05,1.925536358549582e-05,2.477620445173019e-06
237,433,1.0804326512128592e-05,2.216447312441745e-05,1.8933977428424073e-05,2.6463412193844883e-06
238,419,1.1694331782472308e-05,2.216447312441745e-05,1.904136987856406e-05,2.506727877338106e-06
239,437,1.1289788766736508e-05,2.216447312441745e-05,1.8974221452729037e-05,2.5541392241565285e-06
240,426,1.1233859498824588e-05,2.216447312441745e-05,1.8907074652468696e-05,2.5614893623158443e-06
241,409,1.1233859498824588e-05,2.216447312441745e-05,1.892184649505982e-05,2.4567534603498548e-06
242,436,1.1102070199287955e-05,2.216447312441745e-05,1.9083211760687683e-05,2.3939968620913035e-06
243,430,1.1240082284513144e-05,2.216447312441745e-05,1.8966842717583485e-05,2.4257094598861354e-06
244,428,1.0873215298471358e-05,2.216447312441745e-05,1.8768329109218235e-05,2.441393570093644e-06
245,421,1.0873215298471358e-05,2.216447312441745e-05,1.844701813633292e-05,2.6071616607374947e-06
246,449,1.1462351838191099e-05,2.1682750730280774e-05,1.83000773224019e-05,2.6199713085122347e-06
247,446,1.1033668459734025e-05,2.1682750730280774e-05,1.8438446594218514e-05,2.591711056602327e-06
248,427,1.1033668459734025e-05,2.1682750730280774e-05,1.8664141809122102e-05,2.5422877444161733e-06
249,432,1.1033668459734025e-05,2.2212080703010545e-05,1.8443157503774308e-05,2.607702553430336e-06
250,416,1.1319118755738632e-05,2.2212080703010545e-05,1.8762535512903838e-05,2.5814427106749062e-06
251,417,1.165538886497382e-05,2.2212080703010545e-05,1.8846240150380487e-05,2.499847563457485e-06
252,414,1.114115921996752e-05,2.1682750730280774e-05,1.9053137377881185e-05,2.4441652897455084e-06
253,427,1.1105621710813412e-05,2.1682750730280774e-05,1.9204701655312148e-05,2.482874865087476e-06
254,428,1.0815965016599352e-05,2.1682750730280774e-05,1.922529915396176e-05,2.467377038152919e-06
255,425,1.0823287714011545e-05,2.1682750730280774e-05,1.906798443488209e-05,2.6256623964514598e-06
256,452,1.1403169932612428e-05,2.1682750730280774e-05,1.9054383587933346e-05,2.5677256200532515e-06
257,432,1.0961244918523068e-05,2.1682750730280774e-05,1.9012342406146744e-05,2.5370012701105185e-06
258,444,1.0961244918523068e-05,2.2528858016855165e-05,1.903440922787454e-05,2.497932816467283e-06
259,428,1.0961244918523068e-05,2.1682750730280774e-05,1.9127475148520645e-05,2.3833140483357006e-06
260,433,1.0890060540023513e-05,2.1682750730280774e-05,1.928251549338382e-05,2.3852985387341157e-06
261,433,1.0961244918523068e-05,2.1682750730280774e-05,1.9265039749192296e-05,2.4353618539700454e-06
262,427,1.1455074512209848e-05,2.172012793997396e-05,1.9271445278503257e-05,2.3719929979032495e-06
263,438,1.1455074512209848e-05,2.172012793997396e-05,1.933093524940157e-05,2.3362414218239585e-06
264,418,1.09689236304392e-05,2.2079749703099693e-05,1.948789523520006e-05,2.266561559621224e-06
265,449,1.1693826209164645e-05,2.2079749703099693e-05,1.925784672649967e-05,2.42101460074336e-06
266,421,1.0882647242040002e-05,2.2079749703099693e-05,1.9043704597246536e-05,2.5456918528519963e-06
267,409,1.0882647242040002e-05,2.2079749703099693e-05,1.9161021410045162e-05,2.5031236426658304e-06
268,437,1.1533144111165051e-05,2.1682750730280774e-05,1.9144560884399047e-05,2.480200697355351e-06
269,422,1.1218614282143754e-05,2.1682750730280774e-05,1.9347643916391097e-05,2.401238181910758e-06
270,418,1.0952584475477927e-05,2.1682750730280774e-05,1.9389630721265943e-05,2.471470801179869e-06
